Designator,Mid X,Mid Y,Layer,Rotation
BT1,7.6,73.9,top,0
C1,43.34,45.68,top,0
C2,43.45,40.59,top,0
C5,38.25,45.4,top,0
C6,29.52,32.67,top,0
C7,38.21,39.53,top,0
D1,22.6,48.875,top,90
D2,22.6,42.585,top,90
D3,22.6,36.29,top,90
D4,22.59,30,top,90
J1,4.3,47.55,top,-90
J2,18.07,23.765,top,0
J3,28.66,23.88,top,0
J4,37,30.45,top,0
J5,17.425,5.495,top,0
J6,9.4,27.25,top,180
J7,5.095,20.65,top,-90
J8,47.875,48.725,top,0
Q1,18.9,56.025,top,0
R1,16,48.15,top,0
R2,16.1,44.45,top,0
R3,33.6,49.65,top,0
R4,43.6,57.15,top,0
R5,43.6,53.65,top,0
R6,27.3,61.05,top,90
R7,10.2,56.05,top,0
R8,28.03,37.74,top,-90
R9,44.28,32.415,top,90
SW1,3.15,38.425,top,0
SW2,84.1375,16.2,top,-90
U1,65.2,31.7675,top,0
U2,13.6,37.35,top,0
U3,36.275,56.445,top,0
U4,27.6,55.9,top,0
